name;description;code;user_id;supplier_id;category_id
Escritorio;;290;1.0;1.0;3
Esmalte Sintetico Color Celeste (4 Litros);;291;1.0;1.0;3
Espatula ;;292;1.0;1.0;3
Espatulas;;293;1.0;1.0;3
"Esrilson 18""";;294;1.0;1.0;3
Estantes De Chapa;;295;1.0;1.0;3
"Estilson 24""";;296;1.0;1.0;3
Estractor Nuevo;;297;1.0;1.0;3
Estractor Usado;;298;1.0;1.0;3
Fajas Grandes Con Criquet;;299;1.0;1.0;3
Faros Para Luminaria ;;300;1.0;1.0;3
Fastix X 25 G;;301;1.0;1.0;3
Ficha Hembra 20 A;;302;1.0;1.0;3
Ficha Macho 20 A;;303;1.0;1.0;3
Ficha Macho Y Hembra 20 A;;304;1.0;1.0;3
Ficha Steck 3 P + T Hembra ;;305;1.0;1.0;3
Ficha Steck 3P +T Macho ;;306;1.0;1.0;3
Ficha Steck Hembra 16A;;307;1.0;1.0;3
Ficha Steck Macho 16 A;;308;1.0;1.0;3
Fichas Macho Y Hembra 10 A;;309;1.0;1.0;3
Filtro 92616910C    K23018     Fa57-10;;310;1.0;1.0;3
Filtro Aceite Compresor;;311;1.0;1.0;3
Filtro Aceite Luminaria;;312;1.0;1.0;3
Filtro Aire Compresor;;313;1.0;1.0;3
Filtro Combustible 5020;;314;1.0;1.0;3
Filtro Combustible Compresor;;315;1.0;1.0;3
Filtro Combustible P5073;;316;1.0;1.0;3
Filtro Compresor Aceite;;317;1.0;1.0;3
Filtro Compresor Combustible;;318;1.0;1.0;3
Filtro Cumbustible Luminaria ;;319;1.0;1.0;3
Filtro Cummins 3973233;;320;1.0;1.0;3
Filtro De Aceite Generador ;;321;1.0;1.0;3
Filtro De Aire;;322;1.0;1.0;3
Filtro De Aire Camion Iveco Primario Y Secundario ;;323;1.0;1.0;3
Filtro De Aire CamiÇün Iveco Primario Y Secundario ;;324;1.0;1.0;3
Filtro De Aire Compresor;;325;1.0;1.0;3
Filtro De Aire De Alta PresiÇün Epb32Nfc;;326;1.0;1.0;3
Filtro De Aire J3568R;;327;1.0;1.0;3
Filtro De Aire Lumnaria;;328;1.0;1.0;3
Filtro Gasoil Generador ;;329;1.0;1.0;3
Filtro Gasoil Luminaria;;330;1.0;1.0;3
Filtro H2021;;331;1.0;1.0;3
Filtro Hf6173;;332;1.0;1.0;3
Filtro Hidraulico Hf61Z3;;333;1.0;1.0;3
Filtro Lf 90 E-507;;334;1.0;1.0;3
Filtro Para Combustible P-5036;;335;1.0;1.0;3
Filtro Para Luminaria Aceite H2039 ;;336;1.0;1.0;3
Filtro Pf-2010-12;;337;1.0;1.0;3
Filtro Racor 2022Ampor;;338;1.0;1.0;3
Filtros De Aire J3568R;;339;1.0;1.0;3
Filtros Para Hidraulicos Packer;;340;1.0;1.0;3
Foco De 1 Polo;;341;1.0;1.0;3
Foco De 2 Polos ;;342;1.0;1.0;3
Foco H3;;343;1.0;1.0;3
Foco H4;;344;1.0;1.0;3
